,INSTANCE,BZ_NITERATIONS,BZ_SOLVETIME,LZ_UBOUND,BZ_LBOUND,TOPOSORT_OBJVAL
4,Agricola10,72,31329.87,2577916419.955509,2577682230.490304,2528237300.69083
1,Agricola30,60,5524.41,2583467124.309211,2583308376.771204,2561661155.179396
5,Agricola60,47,1035.12,2591748615.500909,2591589064.200452,2579003020.504391
8,Catan10,61,4750.05,959971.823484,959921.742659,920200.487016
6,Catan3,81,43450.27,959106.666723,959033.844715,901007.767586
2,Catan5,72,18606.54,959023.61115,958931.615784,913296.685092
3,Dominion10,62,22094.74,165244649.896652,165232145.602234,161323040.270827
