,INSTANCE,BZ_NITERATIONS,BZ_SOLVETIME,LZ_UBOUND,BZ_LBOUND,TOPOSORT_OBJVAL
5,Agricola10,74,23420.9,2577928677.48619,2577677845.27065,2525107019.05754
0,Agricola30,60,2940.46,2583523094.887925,2583300503.735298,2559803776.857162
3,Agricola60,47,600.86,2591757873.231865,2591593549.138433,2578591914.755467
7,Catan10,57,3819.3,960004.116225,959913.610875,919258.712783
1,Catan3,78,56163.75,959114.897066,959025.361978,902055.784314
8,Catan5,72,19947.22,959005.044802,958941.473762,911364.005971
6,Dominion10,64,26297.16,165245552.593345,165232782.573568,161424851.153993
